id,url,status,source,text_length,elapsed_seconds,error
32340,http://mashable.com/2014/09/08/safest-cabbies-nyc/,success,direct,2671,1.433,
10480,http://mashable.com/2013/07/25/3d-printed-rifle/,success,direct,1373,1.552,
15370,http://mashable.com/2013/10/30/digital-dinosaur-movements/,success,direct,213,1.436,
31592,http://mashable.com/2014/08/27/homer-simpson-ice-bucket/,success,direct,490,1.557,
198,http://mashable.com/2013/01/10/creepy-robotic-spider-dress/,success,direct,1718,1.486,
37834,http://mashable.com/2014/11/27/prank-cash-thanksgiving/,success,direct,306,1.364,
624,http://mashable.com/2013/01/17/pokki-windows-8-2/,success,direct,1371,1.407,
22135,http://mashable.com/2014/03/20/emma-stone-spice-girls/,success,direct,741,1.414,
29798,http://mashable.com/2014/07/28/three-out-of-print-j-d-salinger-stories-republished/,success,direct,2947,1.426,
32896,http://mashable.com/2014/09/16/robot-cheetah-freed/,success,direct,1239,1.431,
2300,http://mashable.com/2013/02/14/tesla-vs-nyt/,success,direct,3857,1.616,
30178,http://mashable.com/2014/08/03/wrestlemania-30/,success,direct,948,1.574,
2645,http://mashable.com/2013/02/21/michael-jackson-legos/,success,direct,589,1.53,
23144,http://mashable.com/2014/04/08/childrens-book-morals-adulthood/,success,direct,445,1.426,
1395,http://mashable.com/2013/01/30/rim-renames-itself-blackberry/,success,direct,437,1.403,
8445,http://mashable.com/2013/06/14/sonic-fabric-tapes/,success,direct,1934,1.553,
3530,http://mashable.com/2013/03/09/you-will-be-googled/,success,direct,4824,1.511,
8059,http://mashable.com/2013/06/07/samsung-galaxy-s4-investors/,success,direct,1424,1.445,
20432,http://mashable.com/2014/02/13/vine-challenge-grayscale/,success,direct,535,1.547,
15825,http://mashable.com/2013/11/08/banana-republic-twitter-ipo/,success,direct,1120,1.344,
34274,http://mashable.com/2014/10/08/gay-marriage-nevada-idaho-temporary-block/,success,direct,2630,1.549,
26753,http://mashable.com/2014/06/10/video-games-ruin-friendships/,success,direct,737,1.543,
853,http://mashable.com/2013/01/22/mega-complete-guide/,success,direct,7664,1.556,
29269,http://mashable.com/2014/07/20/apollo-11-45th-anniversary/,success,direct,2239,1.442,
28852,http://mashable.com/2014/07/14/ebola-west-africa-deaths/,success,direct,5839,1.554,
9918,http://mashable.com/2013/07/15/classy-goat-video/,success,direct,541,1.554,
11011,http://mashable.com/2013/08/05/samsung-note-event/,success,direct,2179,1.476,
1673,http://mashable.com/2013/02/05/aaron-swartz-girlfriend-why-he-died/,success,direct,3664,1.508,
13059,http://mashable.com/2013/09/16/ipad-tech-disaster/,success,direct,8373,1.5,
8191,http://mashable.com/2013/06/10/tim-berners-lee-nsa-surveillance/,success,direct,1350,1.389,
32807,http://mashable.com/2014/09/15/hurricane-odile-cabo-social-media/,success,direct,3335,1.45,
37209,http://mashable.com/2014/11/18/powerlace/,success,direct,1246,1.979,
32692,http://mashable.com/2014/09/12/u2-album-itunes-chart-apple-release/,success,direct,2502,1.941,
29901,http://mashable.com/2014/07/30/cw-is-going-to-give-awards-to-dogs-and-were-probably-going-to-cry/,success,direct,1139,1.519,
9845,http://mashable.com/2013/07/12/serval-project/,success,direct,2637,1.467,
4504,http://mashable.com/2013/03/28/bioshock-audio-diary/,success,direct,1099,1.548,
29044,http://mashable.com/2014/07/16/inspirational-post-it-notes/,success,direct,700,1.462,
6056,http://mashable.com/2013/04/28/white-house-correspondents-dinner-highlights/,failed,failed,0,63.502,"direct=text_too_short:192; wayback=HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /cdx/search/cdx?url=http%3A%2F%2Fmashable.com%2F2013%2F04%2F28%2Fwhite-house-correspondents-dinner-highlights%2F&output=json&filter=mimetype%3Atext%2Fhtml&collapse=digest&limit=1&fl=timestamp%2Coriginal%2Cstatuscode (Caused by ConnectTimeoutError(<HTTPSConnection(host='web.archive.org', port=443) at 0x14881d3f0>, 'Connection to web.archive.org timed out. (connect timeout=20)'))"
32776,http://mashable.com/2014/09/15/bryan-fuller-high-moon-clip/,success,direct,864,1.132,
962,http://mashable.com/2013/01/23/tennis-technology-infographic/,success,direct,1159,1.445,
926,http://mashable.com/2013/01/23/infrascanner-detects-brain-trauma/,success,direct,1504,1.547,
31879,http://mashable.com/2014/09/01/school-supplies-ranking/,success,direct,580,1.448,
9778,http://mashable.com/2013/07/11/people-at-the-mall/,success,direct,4141,1.757,
27329,http://mashable.com/2014/06/19/endangered-fish-grand-canyon/,success,direct,2298,1.477,
30713,http://mashable.com/2014/08/12/manchester-united-ipad-ban/,success,direct,2306,1.513,
14737,http://mashable.com/2013/10/17/spotify-beginners-guide/,success,direct,7913,1.521,
1962,http://mashable.com/2013/02/09/kids-coding/,success,direct,1494,1.479,
16303,http://mashable.com/2013/11/19/backstreet-boys-music-video/,success,direct,1536,1.542,
16046,http://mashable.com/2013/11/13/google-india-ad-reunion/,success,direct,1054,1.735,
37588,http://mashable.com/2014/11/24/darren-wilson-charges-michael-brown-ferguson/,success,direct,7419,1.57,
1291,http://mashable.com/2013/01/29/menswear-dog/,success,direct,752,1.543,
37362,http://mashable.com/2014/11/20/frozen-coding/,success,direct,1119,1.55,
12804,http://mashable.com/2013/09/10/twitter-fights/,success,direct,449,1.445,
34125,http://mashable.com/2014/10/06/nba-tv-deal/,success,direct,1828,1.481,
32790,http://mashable.com/2014/09/15/earthquake-releases-groundwater-napa/,success,direct,2286,1.498,
25228,http://mashable.com/2014/05/14/samsung-gear-glass/,success,direct,1615,1.558,
12994,http://mashable.com/2013/09/14/microsoft-surface-ipad-trade/,success,direct,1932,1.502,
5853,http://mashable.com/2013/04/24/lulzsec-arrested-australia/,success,direct,1512,1.424,
7369,http://mashable.com/2013/05/24/apple-iwatch-2014/,success,direct,964,1.488,
32962,http://mashable.com/2014/09/17/neighborhood-watch-signs-vandalize/,success,direct,719,1.44,
2585,http://mashable.com/2013/02/20/twitter-advertising-api-available/,success,direct,752,1.375,
31649,http://mashable.com/2014/08/28/burning-man-death/,success,direct,2998,1.44,
29109,http://mashable.com/2014/07/17/gaza-cease-fire/,success,direct,2699,1.452,
27576,http://mashable.com/2014/06/23/pearl-jam-let-it-go-cover-frozen-disney/,success,direct,1369,1.393,
25786,http://mashable.com/2014/05/24/santa-barbara-manifesto/,success,direct,9149,1.485,
4775,http://mashable.com/2013/04/02/stray-books-comic/,success,direct,458,1.391,
38396,http://mashable.com/2014/12/07/guantanamo-bay-prisoners-uruguay/,success,direct,4884,1.718,
19620,http://mashable.com/2014/01/30/facebooks-paper-doesnt-scare-other-newsreaders/,success,direct,3574,1.442,
34946,http://mashable.com/2014/10/17/bread-simulator-game/,success,direct,1079,1.51,
26109,http://mashable.com/2014/05/30/microsoft-surface-pro-3-review/,success,direct,10613,1.395,
6340,http://mashable.com/2013/05/03/samsung-galaxy-s4-apple-bashing/,success,direct,1222,1.637,
33476,http://mashable.com/2014/09/25/taylor-swift-no-its-becky/,success,direct,768,1.65,
33044,http://mashable.com/2014/09/18/procter-gamble-nfl-deal-breast-cancer/,success,direct,3205,1.43,
3418,http://mashable.com/2013/03/07/nyan-cat-mashable-sxsw/,success,direct,1691,1.56,
21513,http://mashable.com/2014/03/07/ibeacon-sxsw-2014/,success,direct,4506,1.553,
24549,http://mashable.com/2014/05/02/bill-gates-steve-ballmer-microsoft-shareholder/,success,direct,802,1.381,
37323,http://mashable.com/2014/11/19/uber-probing-josh-mohrer/,success,direct,2067,1.499,
22261,http://mashable.com/2014/03/22/olympus-om-d-e-m10-review/,success,direct,8327,1.529,
5001,http://mashable.com/2013/04/07/qr-code-tattoo-comic/,success,direct,483,1.563,
23873,http://mashable.com/2014/04/21/innovative-umbrellas/,success,direct,750,1.546,
31775,http://mashable.com/2014/08/29/sailing-rock-mystery/,success,direct,2044,1.469,
7481,http://mashable.com/2013/05/27/wearable-tech-startups/,success,direct,1673,1.527,
29272,http://mashable.com/2014/07/20/braff-del-toro-weird-al-reddit-ama/,success,direct,5193,1.559,
28443,http://mashable.com/2014/07/08/2-drone-pilots-arrested-new-york-police-helicopter/,success,direct,2107,1.409,
2265,http://mashable.com/2013/02/14/infinity-blade-free/,success,direct,722,1.476,
39257,http://mashable.com/2014/12/19/hyperloop-coming-in-decade/,success,direct,2645,1.454,
28565,http://mashable.com/2014/07/09/lebron-james-nba-free-agency/,success,direct,3101,1.513,
19234,http://mashable.com/2014/01/23/candy-game-jam-trademark/,success,direct,3315,1.559,
19452,http://mashable.com/2014/01/27/super-bowl-advertisers-google-autocomplete/,success,direct,1314,1.557,
35647,http://mashable.com/2014/10/28/bardabunga-volcano-iceland-still-erupting/,success,direct,4515,1.524,
1895,http://mashable.com/2013/02/08/aol-q4-earnings/,success,direct,1417,1.541,
33248,http://mashable.com/2014/09/22/the-need-for-a-better-future-is-what-drew-many-climate-march-participants/,success,direct,768,1.448,
19832,http://mashable.com/2014/02/03/winter-storm-super-bowl-travel/,success,direct,1844,1.542,
14100,http://mashable.com/2013/10/05/tim-cook-steve-jobs-death/,success,direct,2067,1.456,
2055,http://mashable.com/2013/02/11/pope-resigns-memes/,success,direct,1076,1.639,
9040,http://mashable.com/2013/06/26/windows-81-3d-printing/,success,direct,1072,1.541,
24949,http://mashable.com/2014/05/09/johnny-express/,success,direct,838,1.646,
19682,http://mashable.com/2014/01/31/gmail-slow/,success,direct,1723,1.517,
6747,http://mashable.com/2013/05/12/seth-meyers-replace-fallon/,success,direct,1772,1.669,
36344,http://mashable.com/2014/11/06/brussels-belgium-labor-protest/,success,direct,2951,1.439,
14045,http://mashable.com/2013/10/04/fingerprint-picture-unlock-iphone-5s/,success,direct,1813,1.449,
37319,http://mashable.com/2014/11/19/tim-ferriss/,success,direct,10277,1.375,
34942,http://mashable.com/2014/10/17/batman-75th-anniversary-gallery-mondo/,success,direct,790,1.488,
13438,http://mashable.com/2013/09/23/google-world-constitutions-website-constitute/,success,direct,2582,1.468,
30088,http://mashable.com/2014/08/01/fighting-returns-to-benghazi-and-tripoli/,success,direct,8683,1.547,
29702,http://mashable.com/2014/07/26/star-wars-rebels-preview-alls-right-with-the-galaxy/,success,direct,4382,1.518,
23796,http://mashable.com/2014/04/18/spider-man-real-web-shooter/,success,direct,1836,1.562,
10339,http://mashable.com/2013/07/22/yemeni-girl-marriage-youtube/,success,direct,2711,1.542,
39092,http://mashable.com/2014/12/17/cuba-travel/,success,direct,4789,1.529,
23819,http://mashable.com/2014/04/19/ukraine-deal-russia/,success,direct,2678,1.455,
18435,http://mashable.com/2014/01/06/walgreens-taskrabbit/,success,direct,1521,1.506,
34495,http://mashable.com/2014/10/10/mom-ebola-advice/,success,direct,9357,1.599,
36082,http://mashable.com/2014/11/03/creative-holiday-photos/,success,direct,421,2.047,
29900,http://mashable.com/2014/07/30/college-majors-millennials/,success,direct,1355,1.541,
8897,http://mashable.com/2013/06/24/summer-songs-2013/,success,direct,2168,1.396,
35932,http://mashable.com/2014/10/31/awesome-pumpkins/,success,direct,4846,1.492,
6689,http://mashable.com/2013/05/10/olympus-pen-ep5/,success,direct,2698,1.484,
22702,http://mashable.com/2014/03/31/rearview-cameras-required/,success,direct,1612,1.501,
13583,http://mashable.com/2013/09/25/instagram-ios-7/,success,direct,724,1.442,
39559,http://mashable.com/2014/12/25/eggnog-hospitalization/,success,direct,1407,1.058,
27891,http://mashable.com/2014/06/27/photoshop-express-wp/,success,direct,1516,1.5,
25320,http://mashable.com/2014/05/16/books-not-dystopian-ya-fiction/,success,direct,955,1.51,
32261,http://mashable.com/2014/09/07/jack-the-ripper-book/,success,direct,2359,1.493,
38909,http://mashable.com/2014/12/15/apple-holiday-ad-2014/,success,direct,1077,1.476,
2296,http://mashable.com/2013/02/14/subway-style-blogger-event/,success,direct,1701,1.591,
9992,http://mashable.com/2013/07/16/instagram-dancer/,success,direct,933,1.559,
23788,http://mashable.com/2014/04/18/republican-house-candidate-shoots-down-drone-in-campaign-ad/,success,direct,1320,1.422,
2825,http://mashable.com/2013/02/25/lg-acquires-webos-oscars/,success,direct,615,1.486,
22667,http://mashable.com/2014/03/31/gopro-kayaker-waterfall/,success,direct,642,1.494,
18665,http://mashable.com/2014/01/10/target-70-million-data-breach/,success,direct,4836,1.566,
21342,http://mashable.com/2014/03/04/google-maps-carplay/,success,direct,2759,1.54,
10026,http://mashable.com/2013/07/16/weird-summer-accessories/,success,direct,1693,1.563,
21752,http://mashable.com/2014/03/12/new-jersey-tesla-dealers/,success,direct,6081,1.531,
36630,http://mashable.com/2014/11/10/neil-degrasse-tyson-interstellar/,success,direct,1268,1.438,
1457,http://mashable.com/2013/01/31/one-you-choose-campaign/,success,direct,2582,1.509,
14673,http://mashable.com/2013/10/16/stephen-colbert-breaking-character/,success,direct,991,1.54,
16909,http://mashable.com/2013/12/02/these-shippers-dont-play-by-the-rules/,success,direct,601,1.663,
38665,http://mashable.com/2014/12/10/sports-twitter-most-popular/,success,direct,3417,1.559,
15171,http://mashable.com/2013/10/26/mr-peabody-and-sherman-trailer/,success,direct,925,1.536,
10861,http://mashable.com/2013/08/01/netflix-profiles/,success,direct,1016,1.541,
6735,http://mashable.com/2013/05/12/google-mothers-day-doodle/,success,direct,1233,1.437,
5525,http://mashable.com/2013/04/17/samsung-galaxy-s-4-u-s/,success,direct,899,1.443,
35637,http://mashable.com/2014/10/27/zte-us-plan/,success,direct,4365,1.442,
33813,http://mashable.com/2014/10/01/embarrassing-work-mistakes/,success,direct,539,1.438,
14660,http://mashable.com/2013/10/16/nomi-10-million/,success,direct,1809,1.45,
1566,http://mashable.com/2013/02/03/apps-hands-on/,success,direct,609,1.53,
7237,http://mashable.com/2013/05/22/cat-beards/,success,direct,1372,1.348,
26295,http://mashable.com/2014/06/03/inside-apple-healthkit/,success,direct,5433,1.473,
4040,http://mashable.com/2013/03/19/facebook-lookalike/,success,direct,2242,1.491,
21024,http://mashable.com/2014/02/25/record-breaking-rock-moon/,success,direct,2197,1.327,
19855,http://mashable.com/2014/02/04/facebook-early-employees/,success,direct,18651,1.459,
32268,http://mashable.com/2014/09/07/shameful-texting-habits/,success,direct,662,1.441,
24598,http://mashable.com/2014/05/02/twitter-mute-button/,success,direct,1771,1.348,
19812,http://mashable.com/2014/02/03/photogenic-rodents/,success,direct,433,1.375,
18106,http://mashable.com/2013/12/28/design-tips-productivity/,success,direct,5865,1.589,
8124,http://mashable.com/2013/06/09/yahoo-prism-denial/,success,direct,2992,1.553,
16817,http://mashable.com/2013/11/30/25-top-mashable-resources-of-the-week/,success,direct,5274,1.53,
30904,http://mashable.com/2014/08/15/expendables/,success,direct,1841,1.453,
1697,http://mashable.com/2013/02/05/facebook-ad-tracking-icon/,success,direct,937,1.624,
27893,http://mashable.com/2014/06/27/real-fx-is-a-racing-throwback-with-2st-century-smarts/,success,direct,3708,1.554,
34141,http://mashable.com/2014/10/06/square-6-billion/,success,direct,1259,1.396,
31444,http://mashable.com/2014/08/25/mtv-vmas-not-on-tv/,success,direct,4602,1.461,
740,http://mashable.com/2013/01/20/starbucks-verismo-snl/,success,direct,281,2.086,
27694,http://mashable.com/2014/06/25/appeals-court-gay-marriage/,success,direct,5257,1.417,
36826,http://mashable.com/2014/11/12/tickets-future-of-digital-sydney/,success,direct,1005,1.497,
29399,http://mashable.com/2014/07/22/guardians-of-the-galaxy-premiere-see-the-raccoon-miss-the-easter-egg/,success,direct,4365,1.555,
36820,http://mashable.com/2014/11/12/solar-cycle-lane-netherlands/,success,direct,1746,1.419,
33074,http://mashable.com/2014/09/19/billy-crystal-robin-williams-tonight-show/,success,direct,603,1.455,
7090,http://mashable.com/2013/05/19/solar-chaser-cat/,success,direct,656,1.53,
19780,http://mashable.com/2014/02/03/apple-mac-30th-video/,success,direct,911,1.486,
14867,http://mashable.com/2013/10/21/girls-twitter-influence/,success,direct,504,1.583,
27217,http://mashable.com/2014/06/17/youtubes-subscription-music-service/,success,direct,2792,1.368,
8844,http://mashable.com/2013/06/23/origami-stroller-2/,success,direct,1012,1.505,
15789,http://mashable.com/2013/11/07/pixel-photographs/,success,direct,1673,1.452,
13326,http://mashable.com/2013/09/20/facebook-mobile-strategy/,success,direct,8612,1.541,
27623,http://mashable.com/2014/06/24/global-warming-business-leaders/,success,direct,7741,1.542,
11206,http://mashable.com/2013/08/08/user-data/,success,direct,4642,1.512,
21720,http://mashable.com/2014/03/12/alert-shirt-electronic/,success,direct,1075,1.597,
23277,http://mashable.com/2014/04/09/ukraine-zoo-animals/,success,direct,4290,1.499,
29279,http://mashable.com/2014/07/20/homemade-body-scrubs/,success,direct,384,1.455,
29581,http://mashable.com/2014/07/24/michelle-phan-lawsuit/,success,direct,2710,1.506,
29814,http://mashable.com/2014/07/29/australia-cat-cafe/,success,direct,3522,1.553,
38378,http://mashable.com/2014/12/06/ski-snowboard-apps/,success,direct,580,1.459,
30584,http://mashable.com/2014/08/10/college-hacks-tips-tricks-dorm/,success,direct,808,2.645,
