id,score,popularity_class
0,12914,3
1,5879,3
2,5357,3
3,5305,3
4,4947,3
5,4613,3
6,4189,3
7,4096,3
8,4000,3
9,3991,3
10,3912,3
11,3778,3
12,3758,3
13,3685,3
14,3662,3
15,3559,3
16,3535,3
17,3482,3
18,3469,3
19,3448,3
20,3443,3
21,3435,3
22,3408,3
23,3405,3
24,3405,3
25,3369,3
26,3369,3
27,3319,3
28,3301,3
29,3279,3
30,3242,3
31,3197,3
32,3204,3
33,3181,3
34,3147,3
35,3125,3
36,3121,3
37,3057,3
38,3051,3
39,3041,3
40,3041,3
41,3035,3
42,3042,3
43,3014,3
44,3014,3
45,2973,3
46,2937,3
47,2937,3
48,2929,3
49,2897,3
50,2887,3
51,2888,3
52,2871,3
53,2850,3
54,2849,3
55,2848,3
56,2853,3
57,2845,3
58,2845,3
59,2820,3
60,2826,3
61,2814,3
62,2792,3
63,2781,3
64,2785,3
65,2779,3
66,2768,3
67,2763,3
68,2760,3
69,2756,3
70,2743,3
71,2738,3
72,2746,3
73,2738,3
74,2720,3
75,2716,3
76,2719,3
77,2711,3
78,2714,3
79,2714,3
80,2708,3
81,2688,3
82,2687,3
83,2676,3
84,2668,3
85,2668,3
86,2666,3
87,2661,3
88,2649,3
89,2648,3
90,2631,3
91,2631,3
92,2623,3
93,2627,3
94,2625,3
95,2628,3
96,2617,3
97,2615,3
98,2609,3
99,2600,3
100,2605,3
101,2603,3
102,2604,3
103,2595,3
104,2590,3
105,2578,3
106,2572,3
107,2565,3
108,2572,3
109,2568,3
110,2559,3
111,2562,3
112,2561,3
113,2544,3
114,2549,3
115,2547,3
116,2537,3
117,2541,3
118,2534,3
119,2539,3
120,2536,3
121,2532,3
122,2528,3
123,2532,3
124,2523,3
125,2523,3
126,2504,3
127,2511,3
128,2503,3
129,2504,3
130,2499,3
131,2494,3
132,2496,3
133,2491,3
134,2493,3
135,2489,3
136,2497,3
137,2488,3
138,2493,3
139,2481,3
140,2482,3
141,2480,3
142,2477,3
143,2467,3
144,2463,3
145,2464,3
146,2469,3
147,2464,3
148,2460,3
149,2453,3
150,2453,3
151,2457,3
152,2459,3
153,2449,3
154,2443,3
155,2444,3
156,2450,3
157,2441,3
158,2432,3
159,2436,3
160,2439,3
161,2435,3
162,2434,3
163,2428,3
164,2427,3
165,2431,3
166,2424,3
167,2425,3
168,2425,3
169,2423,3
170,2423,3
171,2420,3
172,2416,3
173,2418,3
174,2416,3
175,2408,3
176,2405,3
177,2410,3
178,2406,3
179,2405,3
180,2397,3
181,2406,3
182,2404,3
183,2398,3
184,2397,3
185,2393,3
